"category","word","active","attempts","successes"
"person","io",1,0,0
"person","tu",1,0,0
"person","lui/lei/Lei",1,0,0
"person","noi",1,0,0
"person","voi",1,0,0
"person","loro",1,0,0
"tense","Presente",1,0,0
"tense","Future Anteriore",1,0,0
"tense","Futuro Semplice",1,0,0
"tense","imperative",1,0,0
"tense","Imperfetto",1,0,0
"tense","Imperfetto Congiuntivo",1,0,0
"tense","Passato Condizionale",1,0,0
"tense","Passato Congiuntivo",1,0,0
"tense","Passato Prossimo",1,0,0
"tense","Passato Remoto",1,0,0
"tense","Presente",1,0,0
"tense","Presente Condizionale",1,0,0
"tense","Presente Congiuntivo",1,0,0
"tense","Trapassato Congiuntivo",1,0,0
"tense","Trapassato Prossimo",1,0,0
"tense","Trapassato Remoto",1,0,0
"verb","abbassare",0,0,0
"verb","abbracciare",0,0,0
"verb","accendere",0,0,0
"verb","accennare",0,0,0
"verb","accettare",0,0,0
"verb","accusare",0,0,0
"verb","adattare",0,0,0
"verb","adorare",0,0,0
"verb","affascinare",0,0,0
"verb","afferrare",0,0,0
"verb","aggiungere",0,0,0
"verb","aggiustare",0,0,0
"verb","aiutare",1,0,0
"verb","allontanarsi",0,0,0
"verb","alzarsi",0,0,0
"verb","alzarsi (in piedi)",0,0,0
"verb","amare",0,0,0
"verb","amare",0,0,0
"verb","ammalarsi",0,0,0
"verb","ammettere",0,0,0
"verb","ammirare",0,0,0
"verb","andare",0,0,0
"verb","annunciare",0,0,0
"verb","apparire",0,0,0
"verb","apparire",0,0,0
"verb","aprire",0,0,0
"verb","arrabbiarsi",0,0,0
"verb","arrivare",0,0,0
"verb","asciugarsi",0,0,0
"verb","ascoltare",0,0,0
"verb","aspettare",0,0,0
"verb","assumere",0,0,0
"verb","attaccare",0,0,0
"verb","attirare (l'attenzione di qualcuno)",0,0,0
"verb","attrarre",0,0,0
"verb","attraversare",0,0,0
"verb","avanzare",0,0,0
"verb","avere",0,0,0
"verb","avere (bisogno di)",0,0,0
"verb","badare",0,0,0
"verb","ballare",0,0,0
"verb","bere",0,0,0
"verb","bruciare",0,0,0
"verb","buttare (via)",0,0,0
"verb","cadere",0,0,0
"verb","cambiare",0,0,0
"verb","camminare",0,0,0
"verb","cantare",0,0,0
"verb","capire",0,0,0
"verb","capire",0,0,0
"verb","celebrare",0,0,0
"verb","cenare",0,0,0
"verb","cercare",0,0,0
"verb","chiacchierare",0,0,0
"verb","chiamare",0,0,0
"verb","chiedere",0,0,0
"verb","chiedere",0,0,0
"verb","chiudere",0,0,0
"verb","colpire",0,0,0
"verb","compiere",0,0,0
"verb","comprare",0,0,0
"verb","concentrarsi",0,0,0
"verb","conoscere",0,0,0
"verb","conquistare",0,0,0
"verb","consegnare",0,0,0
"verb","contare",0,0,0
"verb","contare su",0,0,0
"verb","continuare",0,0,0
"verb","continuare",0,0,0
"verb","contribuire",0,0,0
"verb","convincere",0,0,0
"verb","coprire",0,0,0
"verb","correggere",0,0,0
"verb","correre",0,0,0
"verb","costare",0,0,0
"verb","costruire",0,0,0
"verb","creare",0,0,0
"verb","credere",0,0,0
"verb","crescere",0,0,0
"verb","crescere",0,0,0
"verb","cucinare",0,0,0
"verb","dare",0,0,0
"verb","dare",0,0,0
"verb","dare (consigli)",0,0,0
"verb","decidere",0,0,0
"verb","dedicarsi",0,0,0
"verb","depositare",0,0,0
"verb","derubare",0,0,0
"verb","descrivere",0,0,0
"verb","desiderare",0,0,0
"verb","dibattere",0,0,0
"verb","dichiarare",0,0,0
"verb","dimenticare",0,0,0
"verb","dipendere",0,0,0
"verb","dipingere",0,0,0
"verb","dire",0,0,0
"verb","dire",0,0,0
"verb","dirigere",0,0,0
"verb","discutere",0,0,0
"verb","disegnare",0,0,0
"verb","distrarre",0,0,0
"verb","distruggere",0,0,0
"verb","diventare",0,0,0
"verb","divertirsi",0,0,0
"verb","domandare",0,0,0
"verb","dormire",0,0,0
"verb","dovere",0,0,0
"verb","dubitare",0,0,0
"verb","durare",0,0,0
"verb","entrare",0,0,0
"verb","esercitarsi",0,0,0
"verb","esistere",0,0,0
"verb","esprimere",0,0,0
"verb","essere",0,0,0
"verb","essere",0,0,0
"verb","fare",0,0,0
"verb","fare",0,0,0
"verb","fare (attenzione)",0,0,0
"verb","fare (colazione)",0,0,0
"verb","fare (conversazione)",0,0,0
"verb","fare (il bagno)",0,0,0
