"English","Italian","Success","Total"
"Wednesday","mercoledi",9,10
"by this time/at this point","oramai",3,7
"to open, conjugated in imperative","-*apri*apra*apriamo*aprite*aprano",2,2
"yet","ancora",12,14
"our","nostro",9,9
"to look for, conjugated in imperative","-*cerca*cerchi*cerchiamo*cercate*cerchino",3,3
"lot of time","sacco di tempo",5,5
"to lose, conjugated in past participle","avere perso",7,8
"scoop (of gelato)","gusti",5,6
"exquisite","squisito",2,2
"window","finestra",3,3
"to be, conjugated in present tense","sono*sei*è*siamo*siete*sono",7,10
"to speak","parlare",12,13
"it's cold (weather)","fa freddo",10,11
"who","chi",4,4
"weighed down, pregnant","gravidanza",2,3
"That's done","ecco fatto",3,4
"to give, conjugated in present tense","do*dai*da*diamo*date*danno",4,6
"without","senza",9,9
"little by little","piano piano",1,2
"to attach","allegare",5,6
"to see, conjugated in future tense","vedrò*vedrai*vedrà*vedremo*vedrete*vedranno",4,5
"to wait","aspettare, chiedere",7,9
"reason, cause, motive","motivo",11,13
"to come, conjugated in imperative","-*vieni*venga*veniamo*venite*vengano",1,1
"to give, conjugated in past participle","avere dato",4,4
"trash","rifiuti",4,4
"to drive","guidare",4,6
"well done!","bravo!",3,3
"abroad","estero",0,5
"thin","sottile",8,13
"almost, nearly","quasi",22,42
"to fall, conjugated in future tense","cadrò*cadrai*cadrà*cadremo*cadrete*cadranno",4,5
"some","qualche",26,50
"moment (i.e. for a moment)","attimo",8,11
"stores (shopping)","i negozi",11,11
"to rain","piovere",9,17
"fire","incendio",4,6
"to fall","cadere",8,10
"right, permitted, allowed","lecito",0,1
"to trust","fidarsi",2,2
"to pay, conjugated in imperative","-*paga*paghi*paghiamo*pagate*paghino",2,3
"to open, conjugated in present subjunctive","apra*apra*apra*apriamo*apriate*apranp",5,5
"a list","elencare",3,10
"your","tuo",10,10
"sight-seeing","il giro turistico",13,16
"to give, conjugated in imperative","-*da'*dia*diamo*date*diano",0,0
"equal","uguale",5,5
"to be","essere",11,11
"on the plane","in aereo",13,15
"newspaper","giornale",8,8
"excuse me","permesso",5,5
"They have just arrived","Sono appena arrivati",6,9
"fat","grasso",10,11
"to have to, conjugated in present tense","devo*devi*deve*dobbiamo*dovete*devono",6,14
"to eat","mangiare",11,12
"spring","molla, la primavera",13,18
"to drink, conjugated in imperative","-*bevi*beva*beviamo*bevete*bevano",0,0
"to retain","ritenere",12,13
"appetizers","gli antipasti",14,17
"I'm sorry","mi dispiace",15,19
"to give, conjugated in imperfect (past)","davo*davi*dava*davamo*davate*davano",5,7
"to be able to, conjugated in present subjunctive","possa*possa*possa*possiamo*possiate*possano",6,7
"year","l'anno",10,10
"education","l'istruzione",11,14
"single (not married)","celibe (M)/nubile (F)",14,16
"balloon","palloncino",3,5
"sack","sacco",5,5
"to run","correre",9,9
"on the contrary","anzi",8,11
"wine and drinks","i vine e gli alcolici",13,17
"to hold/keep, conjugated in imperative","-*tieni*tenga*teniamo*tenete*tengano",1,1
"to flirt","flirtare",4,4
"to play (an instrument), conjugated in imperfect (past)","suonavo*suonavi*suonava*suonavamo*suonavate*suonavano",5,7
"pharmacy","la farmacia",11,12
"foam","schiuma",3,5
"help","aiuto",5,5
"to close, conjugated in past participle","avere chiuso",6,7
"a room","una stanza",9,9
"to begin, conjugated in imperative","-*comincia*cominci*cominciamo*cominciate*comincino",3,3
"nap","pisolino",3,4
"to give, conjugated in conditional","darei*daresti*darebbe*daremmo*dareste*darebbero",3,3
"to write, conjugated in past participle","avere scritto",6,6
"dinner","cena",6,6
"chair","sedia",8,12
"tomorrow","domani",22,30
"mama's boy","mamone",3,3
"funny","buffo",5,5
"to prefer","preferire",15,19
"to open, conjugated in past participle","avere aperto",6,6
"to put, conjugated in imperfect (past)","mettevo*mettevi*metteva*mettevamo*mettevate*mettevano",5,7
"orange","arancione",11,16
"to fall, conjugated as past participle","essere caduto/a/e/i",11,18
"afternoon","pomeriggio",17,22
"eggs","uova",7,9
"leaf, foilage","foglia",10,11
"to mean (I mean to go)","intendere",10,13
"summer","1'estate",17,23
"to stay, conjugated in imperative","-*sa'*stia*stiamo*state*stiano",0,1
"don't finish (informal)","non finire",2,2
"to buy, conjugated in conditional","comprerei*compreresti*comprerebbe*compreremmo*comprereste*comprerebbero",3,3
"to get dressed","vestirsi",4,4
"sometimes","a volte, talora / qualche volta",14,20
"ground floor","piano terra",7,7
"better","migliore, più buono",8,11
"to meet, conjugated in future tense","incontrerò*incontrerai*incontrerà*incontreremo*incontrerete*incontreranno",8,14
"to reload, recharge","recaricare",2,2
"to do/make, conjugated in imperfect subjunctive","facessi*facessi*facesse*facessimo*faceste*facessero",4,5
"meeting, encounter","incontro",5,6
"have a good weekend","buon fine settimana",6,6
"to see, conjugated in past participle","avere visto",8,10
"to go","andare",11,12
"everyone","tutti",12,12
"in front of","davanti a",11,14
"turn (i.e. turn to the left)","gira",12,16
"to maneuver","manovrare",8,9
"teacher, expert","maestro",9,9
"through, across","atraverso",9,9
"plate","piatto, piastra",8,11
"salary","stipendio",10,11
"a few","alcuni",22,41
"to do/make, conjugated in imperative","-*fa'*faccia*facciamo*fate*facciano",0,1
"staying","stando",6,6
"king","re",6,6
"greatest, most","massimo",5,5
"to repent","pentirsi",4,9
"always","sempre",6,13
"neither","neanche",9,13
"early, soon","presto",22,33
"to want, conjugated in future tense","vorrò*vorrai*vorrà*vorremo*vorrete*vorranno",4,4
"to clean","pulire",5,8
"to call (on the phone)","telefonare",8,10
"parents","i genitori",9,10
"week","la settimana",10,12
"double","doppia",1,1
"puddles","pozzanghere",1,1
"to finish, conjugated in imperative","-*finisci*finisca*finiamo*finite*finiscano",1,1
"see you tomorrow","ci vediamo domani",5,5
"to watch, conjugated in imperfect subjunctive","guardassi*guardassi*guardasse*guardassimo*guardaste*guardassero",4,5
"to think","pensare",7,7
"a question","una domanda",8,9
"to believe","credere",9,9
"to sleep","dormire",9,9
"I'm thirsty","ho sete",10,11
"particular, special, peculiar, odd","particolare",10,11
"home furnishings","l'arredamento da casa",11,13
"to like it, conjugated in present tense","mi piace*ti piace*Le/gli/le piace*ci piace*vi piace*gli piace",13,19
"to close, conjugated in imperative","-*chiudi*chiuda*chiudiamo*chiudete*chiudano",0,2
"to eat, conjugated in future tense","mangerò*mangerai*mangerà*mangeremo*mangerete*mangeranno",2,2
"it's nice (weather)","fa bel tempo",9,10
"to put on","mettersi",9,10
"although","benché",6,12
"to confuse","confondersi",1,1
"to hold, conjugated in future tense","terrò*terrai*terrà*terremo*terrete*terranno",2,3
"according to","secondo",3,3
"sure","sicuro",5,5
"a fine","multe",3,5
"suitcase","valigia",7,7
"a ticket","un biglietto",7,7
"to hope","sperare",7,9
"what","che cosa",8,9
"to listen","ascoltare",8,11
"to work","lavorare",11,13
"stationery (noun)","la cartoleria",13,15
"to be, conjugated in conditional","sarei*saresti*sarebbe*saremmo*sareste*sarebbero",2,2
"good luck","buona fortuna",2,2
"to eat dinner","cenare",4,4
"to have, conjugated in imperfect","avevo*avevi*aveva*avevamo*avevate*avevano",4,4
"To make a fool of oneself","fare una brutta figura",4,4
"to try","provarsi",5,6
"to run after","correre dietro a",6,8
"his/her","suo/sua",8,8
"to be, conjugated in imperfect subjunctive","fossi*fossi*fosse*fossimo*foste*fossero",5,10
"in the hospital","in ospedale",10,10
"to write","scrivere",12,12
"call (me, you, ...)","mi chiama*ti chiama*La/lo/la chiama*ci chiama*vi chiama*li/le chiama",9,14
"to know, conjugated in imperative","-*sappi*sappia*sappiamo*sappiate*sappiano",1,1
"don't wait (formal)","non aspetti",2,3
"excellent","ottima",3,3
"wrong","torto",4,7
"writer","scrittore",7,7
"to drink, conjugated in past participle","avere bevuto",6,7
"or","o, oppure",7,7
"to have, conjugated in present tense","ho*hai*ha*abbiamo*avete*hanno",8,9
"John is taller than Mark","Giovanni è più alto di Marco",8,11
"to give","dare",11,11
"to choose, conjugated in past participle","avere scelto",7,21
"right away","subito",16,21
"to go out, conjugated in imperfect subjunctive","uscissi*uscissi*uscisse*uscissimo*usciste*uscissero",4,4
"to pay, conjugated in future tense","pagherò*pagherai*pagherà*pagheremo*pagherete*pagheranno",4,4
"to wait, conjugated as past participle","avere aspettato",4,4
"professor (male)","professore",8,8
"goodbye","arrivederci",9,10
"to see","vedere",11,12
"seasoning, flavoring, dressing","condimento",11,12
"example","esempio",1,1
"don't write (informal)","non scrivere",3,3
"to come, conjugated in imperfect (past)","venivo*venivi*veniva*venivamo*venivate*venivano",4,5
"sale","saldi",5,7
"to follow","seguire",6,7
"concert, theater","concerto, teatro",7,7
"the opposite","il contrario",8,9
"while","mentre",15,19
"about, approximately","circa",20,29
"to throw","scagliare",0,0
"ball","palla",4,4
"I'm hungry","ho fame",6,6
"boy/girl","ragazzo/ragazza",8,8
"smaller","minore, più piccolo",8,8
"to be, conjugated in imperfect (past)","ero*eri*era*eravamo*eravate*erano",6,12
"to ask for","chiedere",8,18
