English,Italian
to lower,abbassare
to hug,abbracciare
to switch (on a light),accendere
to mention,accennare
to accept,accettare
to accuse,accusare
to fit,adattare
to adore ,adorare
to fascinate,affascinare
to grab,afferrare
to add,aggiungere
to fix,aggiustare
to help,aiutare
To remove (oneself),allontanarsi
to get (up),alzarsi
to stand (up),alzarsi (in piedi)
to love,amare
to love (things),amare
to get (sick),ammalarsi
to admit,ammettere
to admire,ammirare
to go,andare
to announce,annunciare
to appear,apparire
to appear,apparire
to open,aprire
to get (angry),arrabbiarsi
to arrive,arrivare
to dry (oneself off ),asciugarsi
to listen (to),ascoltare
to wait (for),aspettare
to employ,assumere
to attack,attaccare
to get (someone's attention),attirare (l'attenzione di qualcuno)
to attract,attrarre
to cross,attraversare
to advance,avanzare
to have,avere
to need,avere (bisogno di)
to attend (to),badare
to dance,ballare
to drink,bere
to burn,bruciare
to throw (away),buttare (via)
to fall (down),cadere
to change,cambiare
to walk,camminare
to sing,cantare
to understand,capire
to understand,capire
to celebrate,celebrare
to eat (dinner),cenare
to look (for),cercare
to chat,chiacchierare
to call,chiamare
to ask,chiedere
to ask (for),chiedere
to close,chiudere
to hit,colpire
to fulfill,compiere
to buy,comprare
to concentrate,concentrarsi
to know (personally),conoscere
to conquer,conquistare
to deliver,consegnare
to count,contare
to count (on),contare su
to continue,continuare
to continue,continuare
to contribute,contribuire
to convince,convincere
to cover,coprire
to correct,correggere
to run,correre
to cost,costare
to construct,costruire
to create,creare
to believe,credere
to grow,crescere
to grow (up),crescere
to cook,cucinare
to give,dare
to give,dare
to advise,dare (consigli)
to decide,decidere
to devote (oneself to work),dedicarsi
to deposit,depositare
to rob,derubare
to describe,descrivere
to desire,desiderare
to debate,dibattere
to declare,dichiarare
to forget ,dimenticare
to depend,dipendere
to paint,dipingere
to say,dire
to say,dire
to direct,dirigere
to discuss,discutere
to draw,disegnare
to distract,distrarre
to destroy,distruggere
to become ,diventare
to have (fun),divertirsi
to demand,domandare
to sleep,dormire
to owe (ought to),dovere
to doubt,dubitare
to last,durare
to enter,entrare
to practice ,esercitarsi
to exist,esistere
to express,esprimere
to be ,essere
to be (located),essere
to do,fare
to make,fare
to pay (attention),fare (attenzione)
to eat (breakfast),fare (colazione)
to converse,fare (conversazione)
to bathe (oneself) ,fare (il bagno)
to dial,fare (il numero)
to shower,fare (la doccia)
to hurt,fare (male)
to ache,fare (male)
to finish ,finire
to finish,finire
to turn (out well),finire
to sign,firmare
to form,formare
to smoke,fumare
to function (machine),funzionare
to play,giocare
to turn,girare
to judge,giudicare
to earn,guadagnare
to look (at),guardare
to watch,guardare
to drive,guidare
to guide,guidare
to imagine ,immaginare
to learn,imparare
to include,includere
to meet ,incontrare
to indicate,indicare
to wear,indossare
to guess,indovinare
to begin,iniziare
to start,iniziare
to fall (in love),innamorarsi
to teach,insegnare
to insist,insistere
to interest,interessare
to interrupt,interrompere
to introduce,introdurre
to invite,invitare
to complain ,lamentarsi
to leave,lasciare
to leave ,lasciare
to leave (something or someone),lasciare (qualcosa o qualcuno)
to graduate,laurearsi
to wash (oneself),lavarsi
to work,lavorare
to read,leggere
to get (rid of),liberarsi (di)
to fight,litigare
to lack,mancare
to eat,mangiare
to maintain,mantenere
to maintain,mantenere
to lie,mentire
to deserve,meritarsi
to put,mettere
to place,mettere
to improve ,migliorare
to bite,mordere
to die,morire
to show,mostrare
to move,muovere
to hide,nascondere
to snow,nevicare
to swim,nuotare
to occupy,occupare
to offer,offrire
to order,ordinare
to organize,organizzare
to pay,pagare
to speak,parlare
to attend,partecipare
to participate,partecipare
to pass (a course/exam),passare
to think,pensare
to lose,perdere
to permit,permettere
to let (allow),permettere
to like (please),piacere
to cry,piangere
to plan,pianificare
to fold,piegare
to rain,piovere
to carry,portare
to bring,portare
to eat (lunch),pranzare
to prefer,preferire
to take,prendere
to take (care of),prendersi (cura di)
to reserve,prenotare
to worry,preoccuparsi
to prepare,preparare
to get (oneself ready),prepararsi
to loan,prestare
to produce,produrre
to promise,promettere
to pronounce,pronunciare
to propose,proporre
to protect,proteggere
to experience,provare
to try,provare 
